,Lineup#,Status,Score,Lineup,player1,player2,player3,player4,player5,player6,player7,player8,player9
0,1,Optimal,155.38,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Najee_Harris_(23486022)', 'Travis_Kelce_(23486998)', 'Adam_Thielen_(23486424)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Najee_Harris_(23486022),Travis_Kelce_(23486998),Adam_Thielen_(23486424),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400)
1,2,Optimal,155.18,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Najee_Harris_(23486022)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Najee_Harris_(23486022),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400)
2,3,Optimal,154.78000000000003,"['DST_Vikings__(23487367)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)', 'Tyreek_Hill_(23486382)']",DST_Vikings__(23487367),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400),Tyreek_Hill_(23486382)
3,4,Optimal,154.73999999999998,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Najee_Harris_(23486022)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Deebo_Samuel_(23486376)', 'Quintez_Cephus_(23486610)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Najee_Harris_(23486022),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Deebo_Samuel_(23486376),Quintez_Cephus_(23486610)
4,5,Optimal,154.70999999999998,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Najee_Harris_(23486022)', 'Mark_Andrews_(23486996)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Deebo_Samuel_(23486376)', 'Quintez_Cephus_(23486610)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Najee_Harris_(23486022),Mark_Andrews_(23486996),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Deebo_Samuel_(23486376),Quintez_Cephus_(23486610)
5,6,Optimal,154.51999999999998,"['DST_Patriots__(23487358)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Najee_Harris_(23486022)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Deebo_Samuel_(23486376)', 'Quintez_Cephus_(23486610)']",DST_Patriots__(23487358),Nick_Foles_(23485955),Derrick_Henry_(23486002),Najee_Harris_(23486022),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Deebo_Samuel_(23486376),Quintez_Cephus_(23486610)
6,7,Optimal,154.49999999999997,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Adam_Thielen_(23486424)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Diontae_Johnson_(23486400)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Adam_Thielen_(23486424),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Diontae_Johnson_(23486400)
7,8,Optimal,154.48999999999998,"['DST_Patriots__(23487358)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Najee_Harris_(23486022)', 'Mark_Andrews_(23486996)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Deebo_Samuel_(23486376)', 'Quintez_Cephus_(23486610)']",DST_Patriots__(23487358),Nick_Foles_(23485955),Derrick_Henry_(23486002),Najee_Harris_(23486022),Mark_Andrews_(23486996),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Deebo_Samuel_(23486376),Quintez_Cephus_(23486610)
8,9,Optimal,154.48,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Diontae_Johnson_(23486400)', 'Robert_Woods_(23486416)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Diontae_Johnson_(23486400),Robert_Woods_(23486416)
9,10,Optimal,154.47,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Jonathan_Taylor_(23486000)', 'Maxx_Williams_(23487080)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Jonathan_Taylor_(23486000),Maxx_Williams_(23487080),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400)
10,11,Optimal,154.43,"['DST_Vikings__(23487367)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Mark_Andrews_(23486996)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)']",DST_Vikings__(23487367),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Mark_Andrews_(23486996),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400)
11,12,Optimal,154.38,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Austin_Ekeler_(23486006)', 'Derrick_Henry_(23486002)', 'Maxx_Williams_(23487080)', 'Adam_Thielen_(23486424)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Deebo_Samuel_(23486376)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Austin_Ekeler_(23486006),Derrick_Henry_(23486002),Maxx_Williams_(23487080),Adam_Thielen_(23486424),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Deebo_Samuel_(23486376)
12,13,Optimal,154.33,"['DST_Vikings__(23487367)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Jonathan_Taylor_(23486000)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)', 'Quintez_Cephus_(23486610)']",DST_Vikings__(23487367),Nick_Foles_(23485955),Derrick_Henry_(23486002),Jonathan_Taylor_(23486000),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400),Quintez_Cephus_(23486610)
13,14,Optimal,154.32,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Deebo_Samuel_(23486376)', 'Kendrick_Bourne_(23486488)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Deebo_Samuel_(23486376),Kendrick_Bourne_(23486488)
14,15,Optimal,154.28,"['DST_Patriots__(23487358)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Adam_Thielen_(23486424)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Tyreek_Hill_(23486382)']",DST_Patriots__(23487358),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Adam_Thielen_(23486424),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Tyreek_Hill_(23486382)
15,16,Optimal,154.26999999999998,"['DST_Dolphins__(23487359)', 'Trevor_Siemian_(23485962)', 'Derrick_Henry_(23486002)', 'Najee_Harris_(23486022)', 'Travis_Kelce_(23486998)', 'Adam_Thielen_(23486424)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)']",DST_Dolphins__(23487359),Trevor_Siemian_(23485962),Derrick_Henry_(23486002),Najee_Harris_(23486022),Travis_Kelce_(23486998),Adam_Thielen_(23486424),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400)
16,17,Optimal,154.26,"['DST_Patriots__(23487358)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Diontae_Johnson_(23486400)', 'Robert_Woods_(23486416)']",DST_Patriots__(23487358),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Diontae_Johnson_(23486400),Robert_Woods_(23486416)
17,18,Optimal,154.24999999999997,"['DST_Patriots__(23487358)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Mark_Andrews_(23486996)', 'Adam_Thielen_(23486424)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Diontae_Johnson_(23486400)']",DST_Patriots__(23487358),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Mark_Andrews_(23486996),Adam_Thielen_(23486424),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Diontae_Johnson_(23486400)
18,19,Optimal,154.21,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)', 'Tee_Higgins_(23486398)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400),Tee_Higgins_(23486398)
19,20,Optimal,154.17999999999998,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Austin_Ekeler_(23486006)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Maxx_Williams_(23487080)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Deebo_Samuel_(23486376)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Austin_Ekeler_(23486006),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Maxx_Williams_(23487080),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Deebo_Samuel_(23486376)
20,21,Optimal,154.15,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Mark_Andrews_(23486996)', 'Travis_Kelce_(23486998)', 'Adam_Thielen_(23486424)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Mark_Andrews_(23486996),Travis_Kelce_(23486998),Adam_Thielen_(23486424),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376)
21,22,Optimal,154.13,"['DST_Dolphins__(23487359)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Mark_Andrews_(23486996)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Robert_Woods_(23486416)']",DST_Dolphins__(23487359),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Mark_Andrews_(23486996),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Robert_Woods_(23486416)
22,23,Optimal,154.1,"['DST_Patriots__(23487358)', 'Nick_Foles_(23485955)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Davante_Adams_(23486372)', 'Deebo_Samuel_(23486376)', 'Kendrick_Bourne_(23486488)']",DST_Patriots__(23487358),Nick_Foles_(23485955),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Davante_Adams_(23486372),Deebo_Samuel_(23486376),Kendrick_Bourne_(23486488)
23,24,Optimal,154.09,"['DST_Dolphins__(23487359)', 'Patrick_Mahomes_(23485906)', 'Derrick_Henry_(23486002)', 'Eli_Mitchell_(23486052)', 'Maxx_Williams_(23487080)', 'Travis_Kelce_(23486998)', 'Calvin_Ridley_(23486592)', 'Deebo_Samuel_(23486376)', 'Diontae_Johnson_(23486400)']",DST_Dolphins__(23487359),Patrick_Mahomes_(23485906),Derrick_Henry_(23486002),Eli_Mitchell_(23486052),Maxx_Williams_(23487080),Travis_Kelce_(23486998),Calvin_Ridley_(23486592),Deebo_Samuel_(23486376),Diontae_Johnson_(23486400)
